Report#,RecordDate,OfficerName,Status,Spec. Location,GroupName,ManagerNotified,ReportDate,IncidentOccurred,MethodOfReporting,RelatedEvent,Synopsis,Country,Region/Province,City/Town/Municipality,Category,Type
2015-000209,2015-08-27 13:38:00,"DAVIS, JERRY",Report Sent to Review,,EGYPT,,2015-08-07 00:00:00,2015-08-07 00:00:00,OPEN SOURCE (ONLINE),,Pro-MB March starting form Dar es-Salam Mosque to Maadi. No violence was witnessed.,EGYPT,CAIRO,MAADI,CIVIL UNREST,MARCH
2015-000325,2015-08-30 12:56:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-28 00:00:00,2015-08-28 00:00:00,,,A police officer was reportedly shot and killed by unidentified gunmen as he was returning from work in Tahta.,EGYPT,SOHAG,TAHTA,TERRORISM,ARMED ATTACK
2015-000245,2015-08-27 18:29:00,"BASURTO, JANET",Report Sent to Review,VILLAGE OF IDFINA,EGYPT,,2015-08-24 00:00:00,2015-08-24 00:00:00,OPEN SOURCE (ONLINE),,"Reports indicate that two policemen were killed and 25 others were injured after an IED detonated under a bus carrying police recruits. Pro-state Youm7 reported that three policemen were killed. Reports indicate that the attack was claimed by previously unknown group called ""Trustees of Beit al Maqdis""",EGYPT,BEHEIRA,NA,TERRORISM,IED
2015-000156,2015-08-18 03:03:00,"CAIRO, OPSCENTER",Report Sent to Review,,EGYPT,,2015-08-18 00:00:00,2015-08-18 00:00:00,OPEN SOURCE (ONLINE),,A Homemade Bomb exploded near to Assistant Minister of the Interior’s Office in Asyut Governorate.,EGYPT,ASYUT,NA,TERRORISM,IED
2015-000342,2015-08-30 16:22:00,"DAVIS, JERRY",Report Sent to Review,,EGYPT,,2015-08-30 00:00:00,2015-08-30 00:00:00,OPEN SOURCE (ONLINE),,Dozens attended MB protest reportedly held overnight in Alexandria's Borg al-Arab area.,EGYPT,ALEXANDRIA,BORG AL-ARAB,CIVIL UNREST,MARCH
2015-000210,2015-08-27 13:41:00,"DAVIS, JERRY",Report Sent to Review,"NAOUR VILLAGE, NORTH OF FAYOUM",EGYPT,,2015-08-07 00:00:00,2015-08-07 00:00:00,OPEN SOURCE (ONLINE),,5 militants killed in shootout with police in Fayoum Governorate. Targets of the raid were a militant cell suspected with shooting and killing the daughter of a local police commander.,EGYPT,FAYOUM,NA,SECURITY FORCES,NA
2015-000251,2015-08-27 19:05:00,"BASURTO, JANET",Report Sent to Review,NEAR LIBYAN BORDER,EGYPT,,2015-08-23 00:00:00,2015-08-23 00:00:00,OPEN SOURCE (ONLINE),,"One office was reportedly killed and two soldiers injured following clashes with gunmen traveling in five cars near the Farafra oasis. Conflicting reports have emerged regarding the identity of the gunmen, with reports claiming they are smuggled while others state they are militants.",EGYPT,NA,NA,nan,NA
2015-000320,2015-08-28 16:58:00,"SIKE, OLIVIA",Report Sent to Review,,EGYPT,,2015-08-20 00:00:00,2015-08-20 00:00:00,OPEN SOURCE (ONLINE),,Remotely detonated car bomb exploded.,EGYPT,QALYUBIA,SHUBRA EL-KHEIMA,TERRORISM,BOMBING (OTHER THAN IED)
2015-000328,2015-08-30 13:17:00,"BASURTO, JANET",Report Sent to Review,"FAQOUS, ABU HAMMAD, HUSSEINIYA, BELQAS,",EGYPT,,2015-08-28 00:00:00,2015-08-28 00:00:00,,,"MB protest started in Faqous, Abu Hammad, Husseinya, Belqas. There no reports or unrest.",EGYPT,SHARQIA,NA,CIVIL UNREST,PROTEST
2015-000212,2015-08-27 08:25:00,"CAIRO, OPSCENTER",Report Sent to Review,RING ROAD IN MONIB DIRECTION FROM MARYOTIA,EGYPT,,2015-08-27 00:00:00,2015-08-27 00:00:00,OPEN SOURCE (ONLINE),,"An accident led to Traffic jam on the Ring Road in Monib Direction from Maryotia, Giza.",EGYPT,GIZA,GIZA,CIVIL UNREST,ROAD BLOCK
